Image,Error
02_test.tif,11.40175425
04_test.tif,9.055385138
06_test.tif,20.02498439
08_test.tif,13.60147051
10_left.jpeg,1605.520788
10_right.jpeg,162.0030864
10_test.tif,18.78829423
12_test.tif,21.02379604
13_left.jpeg,57.38466694
13_right.jpeg,64.81512169
13_test.tif,10.63014581
14_test.tif,40.04996879
15_test.tif,13.03840481
16_test.tif,19.23538406
17_left.jpeg,64.19501538
17_test.tif,19.41648784
18_test.tif,14.31782106
19_left.jpeg,60.14149982
19_right.jpeg,81.70679286
19_test.tif,14.86606875
1ffa92e4-8d87-11e8-9daf-6045cb817f5b..JPG,1858.552125
1ffa92fb-8d87-11e8-9daf-6045cb817f5b..JPG,1520.884282
1ffa9309-8d87-11e8-9daf-6045cb817f5b..JPG,1032.031007
1ffa9523-8d87-11e8-9daf-6045cb817f5b..JPG,32.28002478
1ffa952f-8d87-11e8-9daf-6045cb817f5b..JPG,1082.712335
1ffa9555-8d87-11e8-9daf-6045cb817f5b..JPG,1726.045191
20_left.jpeg,169.3192251
20_right.jpeg,162.8649747
20_test.tif,17.88854382
21_left.jpeg,911.9484635
21_right.jpeg,72.24956747
21_training.tif,15.23154621
22_left.jpeg,1044.637736
22_right.jpeg,71.44928271
22_training.tif,38.32753579
23_left.jpeg,68.24954212
23_right.jpeg,96.33275663
23_training.tif,427.0948372
24_training.tif,36.67424164
25_left.jpeg,1773.203316
25_right.jpeg,1289.397146
25_training.tif,26.07680962
26_training.tif,15.03329638
27_training.tif,21.9317122
29_training.tif,27.78488798
30_training.tif,12.52996409
31_left.jpeg,84.11896338
31_right.jpeg,82
31_training.tif,12.20655562
32_training.tif,17.4642492
33_left.jpeg,89.81091248
33_training.tif,22.13594362
34_training.tif,90.66973034
35_training.tif,5.830951895
37_training.tif,23.76972865
38_training.tif,24.04163056
